ln(290) = 5.66748, error = 0.000423539
ln(291) = 5.66748, error = 0.00103091
ln(292) = 5.66748, error = 0.00163627
ln(293) = 5.6665, error = 0.00241216
ln(294) = 5.67041, error = 0.00232254
ln(295) = 5.67432, error = 0.00223094
ln(296) = 5.67627, error = 0.00248227
ln(297) = 5.68018, error = 0.00238663
ln(298) = 5.68408, error = 0.0022891
ln(299) = 5.68799, error = 0.00218978
ln(300) = 5.68994, error = 0.00243256
ln(301) = 5.69385, error = 0.00232931
ln(302) = 5.69727, error = 0.00231009
ln(303) = 5.70117, error = 0.0022032
ln(304) = 5.70312, error = 0.00243773
ln(305) = 5.70703, error = 0.00232702
ln(306) = 5.71094, error = 0.00221463
ln(307) = 5.71484, error = 0.00210048
ln(308) = 5.7168, error = 0.00232697
ln(309) = 5.7207, error = 0.00220919
ln(310) = 5.72461, error = 0.00208973
ln(311) = 5.72461, error = 0.00265231
ln(312) = 5.7251, error = 0.00312758
ln(313) = 5.729, error = 0.00300218
ln(314) = 5.73291, error = 0.00287512
ln(315) = 5.73682, error = 0.00274649
ln(316) = 5.73877, error = 0.00295752
ln(317) = 5.74268, error = 0.00282548
ln(318) = 5.74658, error = 0.00269196
ln(319) = 5.75049, error = 0.00255679
ln(320) = 5.75049, error = 0.00310109
ln(321) = 5.75439, error = 0.00296234
ln(322) = 5.75781, error = 0.00290716
ln(323) = 5.76172, error = 0.00276541
ln(324) = 5.76367, error = 0.00296195
ln(325) = 5.76758, error = 0.002817
ln(326) = 5.77148, error = 0.00267051
ln(327) = 5.77539, error = 0.00252273
ln(328) = 5.77734, error = 0.00271229
ln(329) = 5.7793, error = 0.00290015
ln(330) = 5.7832, error = 0.00274755
ln(331) = 5.78516, error = 0.002932
ln(332) = 5.78516, error = 0.00345341
ln(333) = 5.78516, error = 0.00397334
ln(334) = 5.78516, error = 0.00449163
ln(335) = 5.78516, error = 0.00500834
ln(336) = 5.78516, error = 0.00552358
ln(337) = 5.78516, error = 0.00603733
ln(338) = 5.78516, error = 0.00654943
ln(339) = 5.78516, error = 0.00706013
ln(340) = 5.78516, error = 0.00756927
ln(341) = 5.77002, error = 0.0107214
ln(342) = 5.77197, error = 0.0108868
ln(343) = 5.77588, error = 0.0107086
ln(344) = 5.77783, error = 0.0108708
ln(345) = 5.78174, error = 0.0106899
ln(346) = 5.78369, error = 0.010849
ln(347) = 5.7876, error = 0.0106654
ln(348) = 5.78955, error = 0.0108215
ln(349) = 5.79346, error = 0.0106353
ln(350) = 5.79541, error = 0.0107883
ln(351) = 5.79932, error = 0.0105995
ln(352) = 5.80078, error = 0.0108347
ln(353) = 5.80469, error = 0.0106432
ln(354) = 5.80664, error = 0.0107905
ln(355) = 5.81055, error = 0.0105964
ln(356) = 5.8125, error = 0.0107408
ln(357) = 5.81641, error = 0.0105442
ln(358) = 5.81836, error = 0.0106858
ln(359) = 5.82227, error = 0.0104867
ln(360) = 5.82422, error = 0.0106255
ln(361) = 5.82812, error = 0.0104241
ln(362) = 5.83008, error = 0.01056
ln(363) = 5.83008, error = 0.0110333
ln(364) = 5.83057, error = 0.0114204
ln(365) = 5.83447, error = 0.0112135
ln(366) = 5.83643, error = 0.0113438
ln(367) = 5.84033, error = 0.0111346
ln(368) = 5.84229, error = 0.0112623
ln(369) = 5.84619, error = 0.0110508
ln(370) = 5.84814, error = 0.011176
ln(371) = 5.85205, error = 0.0109622
ln(372) = 5.854, error = 0.0110847
ln(373) = 5.85596, error = 0.0112059
ln(374) = 5.85791, error = 0.0113258
ln(375) = 5.86133, error = 0.0111917
ln(376) = 5.86328, error = 0.011309
ln(377) = 5.86719, error = 0.0110884
ln(378) = 5.86914, error = 0.0112033
ln(379) = 5.87305, error = 0.0109806
ln(380) = 5.875, error = 0.011093
ln(381) = 5.87891, error = 0.0108682
ln(382) = 5.88086, error = 0.0109782
ln(383) = 5.88477, error = 0.0107513
ln(384) = 5.88477, error = 0.0111945
ln(385) = 5.88867, error = 0.0109654
ln(386) = 5.89062, error = 0.0110705
ln(387) = 5.89062, error = 0.0115097
ln(388) = 5.89062, error = 0.0119478
ln(389) = 5.89062, error = 0.0123848
ln(390) = 5.8877, error = 0.0133247
ln(391) = 5.8916, error = 0.0130874
ln(392) = 5.89355, error = 0.0131851
ln(393) = 5.89746, error = 0.012946
ln(394) = 5.89941, error = 0.0130414
ln(395) = 5.90137, error = 0.0131357
ln(396) = 5.90332, error = 0.0132288
ln(397) = 5.90723, error = 0.0129857
ln(398) = 5.90918, error = 0.0130767
ln(399) = 5.91309, error = 0.0128318
ln(400) = 5.91309, error = 0.0132551
ln(401) = 5.91699, error = 0.0130082
ln(402) = 5.91846, error = 0.0131782
ln(403) = 5.92236, error = 0.0129295
ln(404) = 5.92432, error = 0.0130139
ln(405) = 5.92627, error = 0.0130972
ln(406) = 5.92822, error = 0.0131795
ln(407) = 5.93213, error = 0.012927
ln(408) = 5.93408, error = 0.0130071
ln(409) = 5.93799, error = 0.012753
ln(410) = 5.93994, error = 0.0128311
ln(411) = 5.94189, error = 0.0129081
ln(412) = 5.94385, error = 0.0129841
ln(413) = 5.94775, error = 0.0127264
ln(414) = 5.94775, error = 0.013133
