cos(210) = -0.866211, error = 0.000214236
sin(210) = -0.499695, error = 0.000610352

cos(211) = -0.8573, error = 0.000154584
sin(211) = -0.514893, error = 0.000282497

cos(212) = -0.848145, error = 0.000113714
sin(212) = -0.529785, error = 0.000253072

cos(213) = -0.838989, error = 0.000379994
sin(213) = -0.543945, error = 0.00127373

cos(214) = -0.829407, error = 0.000445294
sin(214) = -0.558472, error = 0.00128976

cos(215) = -0.819519, error = 0.000448023
sin(215) = -0.572937, error = 0.0011148

cos(216) = -0.809448, error = 0.000533052
sin(216) = -0.587097, error = 0.00117064

cos(217) = -0.798828, error = 0.00024118
sin(217) = -0.60144, error = 0.00062244

cos(218) = -0.788269, error = 0.000327774
sin(218) = -0.615295, error = 0.000594588

cos(219) = -0.777344, error = 0.000254506
sin(219) = -0.628967, error = 0.000561091

cos(220) = -0.766296, error = 0.000328889
sin(220) = -0.642517, error = 0.000420854

cos(221) = -0.754883, error = 0.000229535
sin(221) = -0.655884, error = 0.00026711

cos(222) = -0.743286, error = 0.000190148
sin(222) = -0.669067, error = 9.44861e-05

cos(223) = -0.731384, error = 4.1807e-05
sin(223) = -0.682007, error = 1.2428e-05

cos(224) = -0.719238, error = 0.000141128
sin(224) = -0.694763, error = 0.000150884

cos(225) = -0.707397, error = 0.000411083
sin(225) = -0.706848, error = 0.000365767

cos(226) = -0.694763, error = 0.000150884
sin(226) = -0.719238, error = 0.000141128

cos(227) = -0.682007, error = 1.2428e-05
sin(227) = -0.731384, error = 4.1807e-05

cos(228) = -0.669067, error = 9.44861e-05
sin(228) = -0.743286, error = 0.000190148

cos(229) = -0.655884, error = 0.00026711
sin(229) = -0.754883, error = 0.000229535

cos(230) = -0.642517, error = 0.000420854
sin(230) = -0.766296, error = 0.000328889

cos(231) = -0.628967, error = 0.000561091
sin(231) = -0.777344, error = 0.000254506

cos(232) = -0.615295, error = 0.000594588
sin(232) = -0.788269, error = 0.000327774

cos(233) = -0.60144, error = 0.00062244
sin(233) = -0.798828, error = 0.00024118

cos(234) = -0.587097, error = 0.00117064
sin(234) = -0.809448, error = 0.000533052

cos(235) = -0.572937, error = 0.0011148
sin(235) = -0.819519, error = 0.000448023

cos(236) = -0.558472, error = 0.00128976
sin(236) = -0.829407, error = 0.000445294

cos(237) = -0.543945, error = 0.00127373
sin(237) = -0.838989, error = 0.000379994

cos(238) = -0.529785, error = 0.000253072
sin(238) = -0.848145, error = 0.000113714

cos(239) = -0.514893, error = 0.000282497
sin(239) = -0.8573, error = 0.000154584

cos(240) = -0.499695, error = 0.000610352
sin(240) = -0.866211, error = 0.000214236

cos(241) = -0.484558, error = 0.000518791
sin(241) = -0.874634, error = 1.61006e-05

cos(242) = -0.468994, error = 0.00101694
sin(242) = -0.883301, error = 0.000400011

cos(243) = -0.45343, error = 0.00123422
sin(243) = -0.891296, error = 0.00032532

cos(244) = -0.437805, error = 0.00129108
sin(244) = -0.899109, error = 0.000350292

cos(245) = -0.421936, error = 0.00161429
sin(245) = -0.906677, error = 0.000407653

cos(246) = -0.405884, error = 0.00209682
sin(246) = -0.91394, error = 0.000432351

cos(247) = -0.391602, error = 0.00222771
sin(247) = -0.920166, error = 0.0003681

cos(248) = -0.375427, error = 0.00219071
sin(248) = -0.92688, error = 0.000327844

cos(249) = -0.359009, error = 0.00178822
sin(249) = -0.933289, error = 0.000312616

cos(250) = -0.342651, error = 0.00184558
sin(250) = -0.939331, error = 0.000384771

cos(251) = -0.32605, error = 0.00147941
sin(251) = -0.945251, error = 0.000282502

cos(252) = -0.308105, error = 0.00294976
sin(252) = -0.951294, error = 0.000249648

cos(253) = -0.291443, error = 0.00317689
sin(253) = -0.956482, error = 0.000185273

cos(254) = -0.27655, error = 0.0033121
sin(254) = -0.960876, error = 0.000400756

cos(255) = -0.25946, error = 0.0024782
sin(255) = -0.965759, error = 0.000172424

cos(256) = -0.242615, error = 0.00286394
sin(256) = -0.970093, error = 0.000209166

cos(257) = -0.225403, error = 0.00200834
