exp(0) = 1, error = 0
exp(0.322999) = 1.37891, error = 0.00171019
exp(0.323999) = 1.37891, error = 0.00271243
exp(0.324999) = 1.38086, error = 0.00229594
exp(0.325999) = 1.38086, error = 0.00329875
exp(0.326999) = 1.38281, error = 0.002884
exp(0.327999) = 1.38281, error = 0.00388737
exp(0.328999) = 1.38477, error = 0.00347444
exp(0.329999) = 1.38477, error = 0.00447838
exp(0.330999) = 1.38867, error = 0.00265499
exp(0.331999) = 1.38867, error = 0.00365816
exp(0.332999) = 1.39062, error = 0.00325124
exp(0.333999) = 1.39258, error = 0.00284648
exp(0.334999) = 1.39258, error = 0.00384984
exp(0.335999) = 1.39453, error = 0.00344678
exp(0.336999) = 1.39453, error = 0.00445078
exp(0.337999) = 1.39844, error = 0.00264719
exp(0.338999) = 1.39844, error = 0.00365026
exp(0.339999) = 1.40039, error = 0.00325325
exp(0.340999) = 1.40625, error = 7.2564e-05
exp(0.341999) = 1.40625, error = 0.00107312
exp(0.342999) = 1.4082, error = 0.000684847
exp(0.343999) = 1.4082, error = 0.00168604
exp(0.344999) = 1.41016, error = 0.00129941
exp(0.345999) = 1.41016, error = 0.00230125
exp(0.346999) = 1.41211, error = 0.00191632
exp(0.347999) = 1.41211, error = 0.00291871
exp(0.348999) = 1.41602, error = 0.00115268
exp(0.349999) = 1.41602, error = 0.00215433
exp(0.350999) = 1.41797, error = 0.00177523
exp(0.351999) = 1.41797, error = 0.00277744
exp(0.352999) = 1.41992, error = 0.00240002
exp(0.353999) = 1.41992, error = 0.00340294
exp(0.354999) = 1.42188, error = 0.00302711
exp(0.355999) = 1.42188, error = 0.00403067
exp(0.356999) = 1.42773, error = 0.000910518
exp(0.357999) = 1.42773, error = 0.00191196
exp(0.358999) = 1.42969, error = 0.00154422
exp(0.359999) = 1.42969, error = 0.0025463
exp(0.360999) = 1.43164, error = 0.0021802
exp(0.361999) = 1.43164, error = 0.0031829
exp(0.362999) = 1.43359, error = 0.00281843
